talk,speaker,speaker_title,speaker_occ,speaker_bio
"How do dogs ""see"" with their noses?",Alexandra Horowitz,,,
Online social change,Zeynep Tufekci,,Techno-sociologist,"Techno-sociologist Zeynep Tufekci asks big questions about our societies and our lives, as both algorithms and digital connectivity spread."
The beauty and diversity of Muslim life,Bassam Tariq,,Creative spirit,"Bassam Tariq delights in making eclectic career choices. A blogger, a filmmaker, and a butcher's shop owner, the common theme linking everything together is his boundless celebration of humanity."
How does your smartphone know your location?,Wilton Virgo,,,
My mother’s strange definition of empowerment,Khadija Gbla,,Cross-cultural consultant,"Khadija Gbla is an award-winning inspirational speaker, facilitator and cross-cultural consultant. She is a former refugee from Sierra Leone currently living in Australia."
"To solve mass violence, look to locals",Severine Autesserre,,Peace and conflict researcher,"Severine Autesserre traces civil war and endemic violence to its roots, and its resolution, in local and interpersonal conflicts."
Brain-to-brain communication has arrived. How we did it,Miguel Nicolelis,,Neuroscientist,Miguel Nicolelis explores the limits of the brain-machine interface.
The danger of hiding who you are,Morgana Bailey,,Human resources professional,"A human resources activist, Morgana Bailey wants to see the diversity of society reflected in the workplace, and employees of all walks of life feel comfortable being open about who they are.
"
"Better toilets, better life",Joe Madiath,,Social entrepreneur,Joe Madiath brings Indian villagers together around water and sanitation projects.
Why I make robots the size of a grain of rice,Sarah Bergbreiter,,Microroboticist,Sarah Bergbreiter packs advanced technologies into tiny robots that can overcome obstacles 80 times their height. 
How to let altruism be your guide,Matthieu Ricard,,"Monk, author, photographer","Sometimes called the ""happiest man in the world,"" Matthieu Ricard is a Buddhist monk, author and photographer."
Poetry that frees the soul,Cristina Domenech,,Poet and educator,Cristina Domenech proposes to use language as an instrument of liberation and as a way to change the world.
How to protect fast-growing cities from failing,Robert Muggah,,Megacities expert,Robert Muggah creates tools to understand cycles of violence in urban environments and opens dialogues on ways to confront them globally.
Let's save the last pristine continent,Robert Swan,,Polar pioneer,"Robert Swan is the first person in history to walk to both the North and South Poles. Now he wants to make sure that Antarctica, the world's last great wilderness, is never exploited."
Creative problem-solving in the face of extreme limits,Navi Radjou,,Innovation strategist,"Drawing inspiration from frugal innovators in emerging markets, Navi Radjou helps businesses with limited resources discover unexpected ways to succeed."
Hopeful lessons from the battle to save rainforests,Tasso Azevedo,,Forester and sustainability activist,Tasso Azevedo has helped reduce the rate of deforestation in Brazil’s Amazon rainforest by 75 percent — and inspired similar efforts around the world.
The evolution of the human eye,Joshua Harvey,,,
"A forensic anthropologist who brings closure for the ""disappeared""",Fredy Peccerelli,,Forensic anthropologist,"Fredy Peccerelli works with families whose loved ones “disappeared” in the 36-year armed conflict in Guatemala. The executive director of the Guatemalan Forensic Anthropology Foundation, he helps locate bodies and give back identities to those buried in mass graves."
"For more tolerance, we need more ... tourism?",Aziz Abu Sarah,,Entrepreneur + educator,Aziz Abu Sarah helps people break down cultural and historical barriers through tourism.
Einstein's miracle year,Larry Lagerstrom,,,
Happy maps,Daniele Quercia,,Map researcher,"At Yahoo! Labs in Barcelona, Daniele Quercia and his colleagues imagine new ways to use online maps to improve our lives."
The benefits of a good night's sleep,Shai Marcu,,,
Why you should care about whale poo,Asha de Vos,,Protector of whales,"Dedicated to increasing awareness about Northern Indian Ocean blue whales, Asha de Vos is also committed to inspiring the next generation of marine biologists."
What is a gift economy?,Alex Gendler,,,
"See invisible motion, hear silent sounds",Michael Rubinstein,,"Research scientist, Google","Computer scientist Michael Rubinstein and his team have developed a ""motion microscope"" that can show video footage of barely perceivable movements, like breaths and heartbeats."
The Atlantic slave trade,Anthony Hazard,,,
"Go ahead, make up new words!",Erin McKean,,Dictionary editor,"As the co-founder of Reverb Technologies, the maker of the online dictionary Wordnik, Erin McKean is reshaping how we interact with language itself."
Trash cart superheroes, Mundano,,Graffiti artist + activist,"Mundano's bold, colorful street art isn't just eye candy. His projects call attention to social, environmental and political issues, while raising chuckles from passersby."
Got a smartphone? Start broadcasting,Bruno Torturra,,Livestreaming activist,"Journalist and photographer Bruno Torturra is the face of Media Ninja, a Brazilian digital collective making headlines for its ability to cover big news as it happens."
The power of believing that you can improve,Carol Dweck,,Psychologist,"Carol Dweck is a pioneering researcher in the field of motivation, why people succeed (or don't) and how to foster success."
The wonderful and terrifying implications of computers that can learn,Jeremy Howard,,Data scientist,Jeremy Howard imagines how advanced machine learning can improve our lives.
How to overcome our biases? Walk boldly toward them,Vernā Myers,,Diversity advocate,"Vernā Myers is dedicated to promoting meaningful, lasting diversity in the workplace."
Social maps that reveal a city's intersections — and separations,Dave Troy,,Technologist,"The co-host of TEDxMidAtlantic, Dave Troy is a serial entrepreneur and a data-viz fan."
At what moment are you dead?,Randall Hayes,,,
The small and surprisingly dangerous detail the police track about you,Catherine Crump,,Attorney + privacy advocate,Catherine Crump is an assistant clinical professor at Berkeley Law School who focuses on the laws around data and surveillance.
The world's most boring television ... and why it's hilariously addictive,Thomas Hellum,,Slow television advocate,"Thomas Hellum is an award-winning television producer who works at NRK Hordaland in Norway.

"
Fighters and mourners of the Ukrainian revolution,Anastasia Taylor-Lind,,Documentary photographer,"Anastasia Taylor-Lind is a documentary photographer who works around the world on issues relating to women, birth rights, depopulation and post-conflict regions."
How Christmas lights helped guerrillas put down their guns,Jose Miguel Sokoloff,,Anti-guerrilla creative,Ad exec Jose Miguel Sokoloff has led a multi-year marketing campaign that's helped Colombian guerrillas realize that they are wanted back home.
,,,,
What veterinarians know that physicians don't,B. N. Horowitz,,"Cardiologist, evolutionary biologist","B. N. Horowitz, MD is a cardiologist and visiting professor at Harvard University's department of human evolutionary biology who turns to the natural world for insights into human well being."
The workforce crisis of 2030 -- and how to start solving it now,Rainer Strack,,Human resources expert,"BCG's Rainer Strack advocates for companies to adopt a ""people advantage"" -- because employee-centered thinking can go a long way."
To the South Pole and back — the hardest 105 days of my life,Ben Saunders,,Polar explorer,"In 2004, Ben Saunders became the youngest person ever to ski solo to the North Pole. In 2013, he set out on another record-breaking expedition, this time to retrace Captain Scott’s ill-fated journey to the South Pole on foot."
What are those floaty things in your eye?,Michael Mauser,,,
Hidden cameras that film injustice in the world’s most dangerous places,Oren Yakobovich,,Human-rights activist,Videre co-founder Oren Yakobovich wields the latest covert recording technology to expose and subvert violent oppression.
The art of stillness,Pico Iyer,,Author,"Novelist and nonfiction author Pico Iyer writes on subjects ranging from the Cuban Revolution to Islamic mysticism, from Graham Greene to forgotten nations and the 21st-century global order."
Why some people find exercise harder than others,Emily Balcetis,,Psychologist,"Social psychologist Emily Balcetis explores perception, motivation, goal-setting and decision-making from conscious and nonconscious levels."
What the people of the Amazon know that you don't,Mark Plotkin,,Amazonian ethnobotanist,As fast as the rainforest is disappearing -- the people of the rainforest are disappearing even faster. Mark Plotkin works to preserve generations of knowledge.
How autism freed me to be myself,Rosie King,,Storytelling activist,"Rosie King challenges stereotypes of people with autism and contextualizes the issue by asking us, “Why be normal?”"
This gel can make you stop bleeding instantly,Joe Landolina,,medical inventor,Joe Landolina is a TED Fellow and the inventor of VETI-GEL.
Meet the mom who started the Ice Bucket Challenge,Nancy Frates,,Mother + ALS Advocate,Nancy Frates and her family have raised a projected $160 million for ALS research in 2014. How? They kicked off the ALS Ice Bucket Challenge to honor 29-year-old Pete Frates.
Tiny satellites show us the Earth as it changes in near-real-time,Will Marshall,,Space scientist,"At Planet, Will Marshall leads overall strategy for commercializing new geospatial data and analytics that are disrupting agriculture, mapping, energy, the environment and other vertical markets."
How to save the world (or at least yourself) from bad meetings,David Grady,,Information security manager,David Grady is on a crusade to help you take back your calendar.
Hidden music rituals around the world,Naná Vasconcelos,,Music icon,"A jazz icon since the late 1960s, Naná Vasconcelos contributed Latin percussion to some of the world’s most cerebral, soulful music. "
Why elephants never forget,Alex Gendler,,,
What your doctor won’t disclose,Leana Wen,,"Emergency physician, public health advocate",Dr. Leana Wen is Baltimore City's Health Commissioner.
Why we need to end the War on Drugs,Ethan Nadelmann,,Drug policy reformer,Ethan Nadelmann has ushered the once-marginal issue of drug legalization onto the center stage of US political debate.
What the Social Progress Index can reveal about your country,Michael Green,,"Economist, social progress expert","Michael Green is part of the team that has created the Social Progress Index, a standard to rank societies based on how they meet the needs of citizens."
How a wound heals itself,Sarthak Sinha,,,
The coming crisis in antibiotics,Ramanan Laxminarayan,,Drug-resistance economist,"At the Center for Disease Dynamics, Economics & Policy, economist Ramanan Laxminarayan looks at big-picture issues of global health."
How painting can transform communities, Haas&Hahn,,Favela painters,"Working as Haas&Hahn, artists Jeroen Koolhaas and Dre Urhahn splash color onto urban walls -- and train young painters in the process."
My architectural philosophy? Bring the community into the process,Alejandro Aravena,,Urban architect,"Alejandro Aravena works inside paradoxes, seeing space and flexibility in public housing, clarity in economic scarcity, and the keys to rebuilding in the causes of natural disasters. He "
Be an opportunity maker,Kare Anderson,,Writer,"A columnist for Forbes, Kare Anderson writes on behavioral research-based ways to become more deeply connected."
How to understand power,Eric Liu,,"Civic evangelist, author","As CEO of Citizen University, Eric Liu is working to spark a civic revival in the US and beyond."
Humble plants that hide surprising secrets,Ameenah Gurib-Fakim,,President of Mauritius,Ameenah Gurib-Fakim was a university professor and entrepreneur before her election as the first female Head of State of Mauritius.
It’s our city. Let’s fix it,Alessandra Orofino,,Political mobilization activist,"Alessandra Orofino founded Meu Rio, Rio de Janeiro’s largest mobilization network."
What new power looks like,Jeremy Heimans,,Activist,"At Purpose, Jeremy Heimans strategizes how to harness new social, economic and technological models to build movements with impact."
"The unexpected math behind Van Gogh's ""Starry Night""",Natalya St. Clair,,,
"Yes, I survived cancer. But that doesn't define me",Debra Jarvis,,Chaplain + author,"Debra Jarvis isn't your typical hospital chaplain. With wry wit, she aims to comfort patients -- and also challenge them."
Photos that give voice to the animal kingdom,Frans Lanting,,Nature photographer,"Frans Lanting is one of the greatest nature photographers of our time. His work has been featured in National Geographic, Audubon andTime, as well as numerous award-winning books. Lanting's recent exhibition, The LIFE Project, offers a lyrical interpretation of the history of life on Earth."
A flying camera ... on a leash,Sergei Lupashin,,Aerial robotics researcher,Sergei Lupashin imagines new uses for flying robots. He's a 2014 TED Fellow.
Is math discovered or invented?,Jeff Dekofsky,,,
How I defend the rule of law,Kimberley Motley,,International litigator,"American lawyer Kimberley Motley is the only Western litigator in Afghanistan's courts; as her practice expands to other countries, she thinks deeply about how to build the capacity of rule of law globally."
"A science award that makes you laugh, then think",Marc Abrahams,,Science humorist,"Marc Abrahams writes about research that makes people laugh, and then think."
What I learned from spending 31 days underwater,Fabien Cousteau,,Ocean explorer and environmentalist,Fabien Cousteau spent 31 days underwater to research how climate change and pollution are affecting the oceans.
Should you donate differently?,Joy Sun,,Veteran aid worker,TED Fellow Joy Sun helped to launch a rare type of charity. GiveDirectly lets donors transfer money directly into the hands of impoverished people — empowering them to set their own goals and priorities.
"The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,,Educational entrepreneur,Ghanaian Fred Swaniker founded a school and a leadership network to educate and support the next generation of Africa’s leaders.
A different way to visualize rhythm,John Varney,,,
What do we do with all this big data?,Susan Etlinger,,Data analyst,"Susan Etlinger promotes the smart, well-considered and ethical use of data."
"My father, locked in his body but soaring free",Kitra Cahana,,Vagabond photojournalist + conceptual artist,Kitra Cahana is a Canadian photographer who blurs the line between anthropologist and journalist.
"Let's help refugees thrive, not just survive",Melissa Fleming,,Voice for refugees,Melissa Fleming sheds light on their devastating plight and remarkable resilience of refugees.
The future of early cancer detection?,Jorge Soto,,Cancer technologist,"Jorge Soto is helping develop a simple, noninvasive test that identifies cancer."
Schrödinger's cat,Chad Orzel,,Physicist,"I’m an Associate Professor in the Department of Physics and Astronomy at Union College, and I write books about science for non-scientists. I also blog about physics and other things at Forbes.com and ScienceBlogs.com. I have a BA in physics from Williams College and a Ph.D. in Chemical Physics from the University of Maryland, College Park (studying laser cooling at the National Institute of Standards and Technology in the lab of Bill Phillips, who shared the 1997 Nobel in Physics). I was a post-doc at Yale, and have been at Union since 2001. My books _How to Teach Physics to Your Dog_ and _How to Teach Relativity to Your Dog_ explain modern physics through imaginary conversations with my German Shepherd, Emmy, and my most recent book, _Eureka: Discovering Your Inner Scientist_ (Basic, 2014), explains how we use the process of science in everyday activities. I live in Niskayuna, NY with my wife, Kate Nepveu, our two kids, and Emmy, the Queen of Niskayuna."
The simple power of hand-washing,Myriam Sidibe,,Public-health expert,"Dr. Myriam Sidibe promotes hand-washing with soap, setting up partnerships with governments, companies and communities to promote this simple, cheap, powerful disease-fighting tactic."
History vs. Christopher Columbus,Alex Gendler,,,
One more reason to get a good night's sleep,Jeff Iliff,,Neuroscientist,Jeff Iliff is a neuroscientist who explores the unique functions of the brain.
Why privacy matters,Glenn Greenwald,,Journalist,Glenn Greenwald is the journalist who has done the most to expose and explain the Edward Snowden files.
The hidden force in global economics,Dilip Ratha,,Remittances expert,Economist Dilip Ratha was the first to analyze the global significance of remittances -- money sent from foreign workers to their families back home.
How to upgrade democracy for the Internet era,Pia Mancini,,Democracy activist,"Using software to inspire public debate and enable voter engagement, Pia Mancini hopes to upgrade modern democracy in Argentina and beyond."
New thoughts on capital in the twenty-first century,Thomas Piketty,,Economist,"Thomas Piketty is an economist and professor at the Paris School of Economics. His 2014 book, ""Capital in the Twenty-first Century,"" caused a sensation upon publication."
Why I take the piano on the road ... and in the air,Daria van den Bercken,,Pianist,"Daria van den Bercken has played piano with major Dutch orchestras, and performed many a recital in her country’s famed concert halls. But her larger vision is to bring classical music to the masses."
A brief history of melancholy,Courtney Stephens,,,
A neural portrait of the human mind,Nancy Kanwisher,,Brain researcher,"Using fMRI imaging to watch the human brain at work, Nancy Kanwisher’s team has discovered cortical regions responsible for some surprisingly specific elements of cognition."
Where to train the world's doctors? Cuba.,Gail Reed,,Cuban health care expert,American journalist and Havana resident Gail Reed spotlights a Cuban medical school that trains doctors from low-income countries who pledge to serve communities like their own.
The career advice you probably didn’t get,Susan Colantuono,,Leadership expert,Susan Colantuono is the CEO and founder of Leading Women.
Sanitation is a basic human right,Francis de los Reyes,,"Environmental engineer, sanitation activist","Francis de los Reyes works with cutting-edge microbiological techniques in environmental biotech. But his passion, both professionally and personally, is helping to improve the plight of the world’s 2.5 billion people living without adequate sanitation. Reyes is a TED Fellow."
,,,,
“Am I dying?” The honest answer.,Matthew O'Reilly,,Emergency medical technician,"Matthew O’Reilly is a veteran emergency medical technician on Long Island, New York."
The courage to tell a hidden story,Eman Mohammed,,Photojournalist,Eman Mohammed is a Palestinian photojournalist.
Big data is better data,Kenneth Cukier,,Data Editor of The Economist,"Kenneth Cukier is the Data Editor of The Economist. From 2007 to 2012 he was the Tokyo correspondent, and before that, the paper’s technology correspondent in London, where his work focused on innovation, intellectual property and Internet governance. Kenneth is also the co-author of Big Data: A Revolution That Will Transform How We Live, Work, and Think with Viktor Mayer-Schönberger in 2013, which was a New York Times Bestseller and translated into 16 languages."
The state of the climate — and what we might do about it,Nicholas Stern,,Climate economist,"Lord Nicholas Stern studies the economics of climate change. He is a co-author of the position paper presented to the UN's 2014 Climate Summit, called ""The New Climate Economy."""
The magic of the Amazon,Antonio Donato Nobre,,Scientist,"Antonio Donato Nobre researches the “ingenious systems” of the Amazon. His work illustrates the beautiful complexity of this region, as well as its fragility against a backdrop of climate change. "
What's next in 3D printing,Avi Reichental,,3D printer,"At XponentialWorks, Avi Reichental is helping to imagine a future where 3D scanning-and-printing is an everyday act -- where food, clothing and objects are routinely output at home."
Why a good book is a secret door,Mac Barnett,,Children's book author,Mac Barnett is a bestselling author of books for children.
What is the Heisenberg Uncertainty Principle?,Chad Orzel,,Physicist,"I’m an Associate Professor in the Department of Physics and Astronomy at Union College, and I write books about science for non-scientists. I also blog about physics and other things at Forbes.com and ScienceBlogs.com. I have a BA in physics from Williams College and a Ph.D. in Chemical Physics from the University of Maryland, College Park (studying laser cooling at the National Institute of Standards and Technology in the lab of Bill Phillips, who shared the 1997 Nobel in Physics). I was a post-doc at Yale, and have been at Union since 2001. My books _How to Teach Physics to Your Dog_ and _How to Teach Relativity to Your Dog_ explain modern physics through imaginary conversations with my German Shepherd, Emmy, and my most recent book, _Eureka: Discovering Your Inner Scientist_ (Basic, 2014), explains how we use the process of science in everyday activities. I live in Niskayuna, NY with my wife, Kate Nepveu, our two kids, and Emmy, the Queen of Niskayuna."
What's the next window into our universe?,Andrew Connolly,,Astronomer,Andrew Connolly is helping to build the Large Synoptic Survey Telescope -- as well as tools to handle the massive datasets it will send our way.
What makes us get sick? Look upstream,Rishi Manchanda,,Physician,"Rishi Manchanda is an ""upstreamist."" A physician and public health innovator, he aims to reinvigorate primary care by teaching doctors to think about—and treat—the social and environmental conditions that often underly sickness."
Wry photos that turn stereotypes upside down,Uldus Bakhtiozina,,"Artist, visionary","TED Fellow Uldus Bakhtiozina creates photo stories and video installations that challenge stereotypes and create diversity, involving all types of people from fashion models to ordinary people. She presents the world with humor and thoughtfulness."
How not to be ignorant about the world,Hans Rosling,,Global health expert; data visionary,"In Hans Rosling’s hands, data sings. Global trends in health and economics come to vivid life. And the big picture of global development -- with some surprisingly good news -- snaps into sharp focus."
A park underneath the hustle and bustle of New York City,Dan Barasch,,Strategist,"Dan Barasch’s grandmother grew up in New York’s Lower East Side. Now, he’s building an underground park in her old neighborhood, where greenspace is limited.
"
I am the son of a terrorist. Here's how I chose peace.,Zak Ebrahim,,Peace activist,"Groomed for terror, Zak Ebrahim chose a different life. The author of The Terrorist's Son, he hopes his story will inspire others to reject a path of violence."
How our stories cross over,Colin Grant,,"Author, historian",Colin Grant is an author and historian whose works focus on larger-than-life figures of the African diaspora.
"An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,,Eco-entrepreneur,"Shubhendu Sharma creates afforestation methods that make it easy to plant maintenance-free, wild and biodiverse forests."
How to live passionately—no matter your age,Isabel Allende,,Novelist,"Isabel Allende writes stories of passion. Her novels and memoirs, including <em>The House of the Spirits</em> and <em>Eva Luna</em>, tell the stories of women and men who live with passionate commitment -- to love, to their world, to an ideal. "
Why we love repetition in music,Elizabeth Margulis,,,
Why does the universe exist?,Jim Holt,,Writer and philosopher,"Why is there something rather than nothing? In his book ""Why Does the World Exist?"" Jim Holt dares to ask."
"Please, please, people. Let's put the 'awe' back in 'awesome'",Jill Shargaa,,Comedian + Designer,"Jill Shargaa is a woman of multiple talents. A seasoned comedian, she founded the all-female comedy revue, Evening of Estrogen. She is also an illustrator and designer who brings a pulp sensibility to her work."
Don't like clickbait? Don't click,Sally Kohn,,Political pundit,"Sally Kohn searches for common ground among political foes by focusing on the compassion and humanity in everyone.
"
Find your voice against gender violence,Meera Vijayann,,Citizen journalist,"By using citizen journalism platforms, Meera Vijayann explores creative ways that young women can participate in politics and community matters. "
What happens when you remove the hippocampus?,Sam Kean,,,
"Crop insurance, an idea worth seeding",Rose Goslinga,,Microinsurer,"Rose Goslinga isn’t your typical insurance salesperson. Through the Syngenta Foundation, her team developed insurance solutions to assist small-scale farmers in Africa, to safeguard their crops in case of droughts."
Can we prevent the end of the world?,Martin Rees,,Astrophysicist,"Lord Martin Rees, one of the world's most eminent astronomers, is an emeritus professor of cosmology and astrophysics at the University of Cambridge and the UK's Astronomer Royal. He is one of our key thinkers on the future of humanity in the cosmos."
"Everyday objects, tragic histories",Ziyah Gafić,,Photographer + storyteller,"To help him come to terms with the tragedy of his own homeland, Bosnian photographer Ziyah Gafić turns his camera on the aftermath of conflict, showing his images in galleries, in books and on Instagram.
"
What can Schrödinger's cat teach us about quantum mechanics?,Josh Samani,,,
"Depressed dogs, cats with OCD — what animal madness means for us humans",Laurel Braitman,,Writer,"Laurel Braitman is a bestselling author and the director of writing and storytelling at the Stanford University School of Medicine.
"
Why lunch ladies are heroes,Jarrett J. Krosoczka,,Author/illustrator,"Jarrett J. Krosoczka is the author/illustrator of countless children's books and graphic novels, including <em>Good Night, Monkey Boy</em>, <em>Baghead</em> and the <em>Lunch Lady</em> series."
"How I brought a river, and my city, back to life",Aziza Chaouni,,Architect + ecotourism specialist,"Aziza Chaouni focuses on projects that integrate architecture and landscape, and that ultimately give back to their communities. For years, she has worked to revive the Fez River, which runs through her hometown of Fez, Morocco."
A Magna Carta for the web,Tim Berners-Lee,,Inventor,"Tim Berners-Lee invented the World Wide Web. He leads the World Wide Web Consortium (W3C), overseeing the Web's standards and development."
The danger of silence,Clint Smith,,"Poet, educator",Clint Smith's work blends art and activism.
How do you know you exist?,James Zucker,,,
Why ordinary people need to understand power,Eric Liu,,"Civic evangelist, author","As CEO of Citizen University, Eric Liu is working to spark a civic revival in the US and beyond."
How prisons can help inmates live meaningful lives,Dan Pacholke,,Prison administrator and reformer,"Dan Pacholke aims to keep the Washington State Department of Corrections on the front edge of innovation by rethinking the design of prisons, the training of officers and the education opportunities made available to inmates. "
How optical illusions trick your brain,Nathan Jacobs,,,
"Beware, fellow plutocrats, the pitchforks are coming",Nick Hanauer,,Entrepreneur,Nick Hanauer is one of the world’s most provocative thinkers about our society’s growing inequality and the dire consequences it creates for our democracies.
Own your body's data,Talithia Williams,,Statistician,Talithia Williams builds statistical models that study the spatial and temporal structure of data.
Why I live in mortal dread of public speaking,Megan Washington,,Musician,"Megan Washington has won two ARIA Awards, the Australian equivalent of the Grammys. A popular singer/songwriter, she has recently come clean with a secret—that she has a speech impediment.
"
How animations can help scientists test a hypothesis,Janet Iwasa,,Molecular animator,"Janet Iwasa's colorful, action-packed 3D animations bring scientific hypotheses to life."
The dark secrets of a surveillance state,Hubertus Knabe,,Historian,"Hubertus Knabe studies the history of torture, oppression and surveillance in former East Germany."
"How giant websites design for you (and a billion others, too)",Margaret Gould Stewart,,User experience master,"At Facebook (and previously at YouTube), Margaret Gould Stewart designs experiences that touch the lives of a large percentage of the world's population."
An ultra-low-cost college degree,Shai Reshef,,Education entrepreneur,Shai Reshef wants to democratize higher education.
How playing an instrument benefits your brain,Anita Collins,,"Educator, researcher, writer","Dr. Anita Collins is an educator, researcher and writer in the field of brain development and music learning."
Are you human?,Ze Frank,,Web humorist,"Ze Frank has been involved in online comedy, web toys and virtually shared experiences for the past 20 years as an influencer, performer, executive and mischief maker."
How quantum mechanics explains global warming,Lieven Scheire,,,
What humans can learn from semi-intelligent slime,Heather Barnett,,Artist,"Heather Barnett creates art with slime mold -- a material used in diverse areas of scientific research, including biological computing, robotics and structural design."
Sculptures that’d be at home in the deep sea,Shih Chieh Huang,,Artist,"Shih Chieh Huang doesn’t make art that’s meant to be admired from afar. He dissects and disassembles the detritus of our lives—household appliances, lights, computer parts, toys—and transforms them into surreal experiences."
A tool to fix one of the most dangerous moments in surgery,Nikolai Begg,,Mechanical engineer,Nikolai Begg is a PhD candidate in mechanical engineering whose passion is rethinking medical devices.
How do you explain consciousness?,David Chalmers,,Philosopher,"In his work, David Chalmers explores the “hard problem of consciousness"" -- the quest to explain our subjective experience."
Two nerdy obsessions meet -- and it's magic,David Kwong,,Cruciverbalist,"David Kwong creates illusions for films and TV, and makes verbal magic as a crossword puzzle maker for the New York Times."
What makes tattoos permanent?,Claudia Aguirre,,,
When people of Muslim heritage challenge fundamentalism,Karima Bennoune,,Professor of international law,Karima Bennoune's new book introduces the world to people who speak out against fundamentalist terrorism.
Our unhealthy obsession with choice,Renata Salecl,,Theorist,"Sociologist and philosopher Renata Salecl scrutinizes our individual and societal neuroses, and suggests ways out of our current paralysis."
Inside the ant colony,Deborah Gordon,,Ecologist,"By studying how ant colonies work without any one leader, Deborah Gordon has identified striking similarities in how ant colonies, brains, cells and computer networks regulate themselves."
A 30-year history of the future,Nicholas Negroponte,,Tech visionary,"The founder of the MIT Media Lab, Nicholas Negroponte pushed the edge of the information revolution as an inventor, thinker and angel investor. He's the driving force behind One Laptop per Child, building computers for children in the developing world.  "
"Want to innovate? Become a ""now-ist""",Joi Ito,,Relentless mind,Joi Ito is the former director of the MIT Media Lab.
Why I love a country that once betrayed me,George Takei,,Actor and activist,"The beloved Mr. Sulu from the original Star Trek, George Takei is an activist for human rights (and a master of Facebook memes). "
Can prejudice ever be a good thing?,Paul Bloom,,Psychologist,"Paul Bloom explores some of the most puzzling aspects of human nature, including pleasure, religion, and morality."
Which country does the most good for the world?,Simon Anholt,,Policy advisor,"After 20 years working with the presidents and prime ministers of 54 countries, Simon Anholt has a plan to make the world work better."
The loves and lies of fireflies,Sara Lewis,,Firefly specialist,Evolutionary ecologist Sara Lewis digs deep into firefly mating rituals to uncover a world of secret languages and strange gifts in these silent sparks.
The 1s and 0s behind cyber warfare,Chris Domas,,Cybersecurity researcher,Chris Domas is an embedded systems engineer and cybersecurity researcher.
How to speak so that people want to listen,Julian Treasure,,Sound consultant,Julian Treasure studies sound and advises businesses on how best to use it.
The DIY orchestra of the future,Ge Wang,,Music technologist,"Both a musician and a computer scientist, Ge Wang turns ordinary MacBooks and iPhones into complex instruments."
Why we should trust scientists,Naomi Oreskes,,Historian of science,Naomi Oreskes is a historian of science who uses reason to fight climate change denial.
What’s wrong with your pa$$w0rd?,Lorrie Faith Cranor,,Security researcher,"At Carnegie Mellon University, Lorrie Faith Cranor studies online privacy, usable security, phishing, spam and other research around keeping us safe online."
What gives a dollar bill its value?,Doug Levinson,,,
Why your worst deeds don’t define you,Shaka Senghor,,Author,"Using literature as a lifeline, Shaka Senghor escaped a cycle of prison and desperation. Now his story kindles hope in those who have little."
Two poems about what dogs think (probably),Billy Collins,,Poet,"A two-term U.S. Poet Laureate, Billy Collins captures readers with his understated wit, profound insight -- and a sense of being ""hospitable."""
Why aren't we only using solar power?,Alexandros Charalambides,,,
3 ways to speak English,Jamila Lyiscott,,Poet and educator,"Jamila Lyiscott weaves words about language, education and the African Diaspora."
How to make hard choices,Ruth Chang,,Philosopher,Ruth Chang asks why some choices are so hard — and what that means for the human condition. 
"What makes a word ""real""?",Anne Curzan,,Language historian,"English professor Anne Curzan actually encourages her students to use slang in class. A language historian, she is fascinated by how people use words—and by how this changes.
"
Is religion good or bad? (This is a trick question),Kwame Anthony Appiah,,Philosopher,"Kwame Anthony Appiah is a philosopher, cultural theorist and novelist. His latest book is ""The Honor Code,"" exploring moral revolutions."
The world's largest family reunion ... we're all invited!,A.J. Jacobs,,Author,"Immersing himself in alternate lifestyles and hilarious experiments (usually with himself as the guinea pig), writer A.J. Jacobs tests the limits of behavior, customs, culture -- and reports back on the wisdom and practical knowledge he's gained."
Why science demands a leap into the unknown,Uri Alon,,Biologist,"Uri Alon studies how cells work, using an array of tools (including improv theater) to understand the biological circuits that perform the functions of life."
The shocking move to criminalize nonviolent protest,Will Potter,,Investigative journalist,"Award-winning journalist and author, Will Potter focuses on the animal rights and environmental movements, and civil liberties in the post-9/11 era."
,,,,
"I'm not your inspiration, thank you very much",Stella Young,,"Comedian, journalist, activist","Writer, comedian and advocate Stella Young was the editor of Ramp Up, an online space for news, discussion and opinion about disability in Australia."
What the gay rights movement learned from the civil rights movement,Yoruba Richen,,Documentary filmmaker,"In her documentary films, Yoruba Richen unites African-American, feminist and LGBTQ voices in a renewed cry for civil rights for all."
"The secrets of nature's grossest creatures, channeled into robots",Robert Full,,Biologist,"Robert Full studies cockroach legs and gecko feet. His research is helping build tomorrow's robots, based on evolution's ancient engineering."
Why people need poetry,Stephen Burt,,Poetry critic,"In his influential poetry criticism, Stephen Burt links the contemporary with the classical, pinpoints new poetry movements, and promotes outstanding little-known poets."
The psychology of your future self,Dan Gilbert,,Psychologist; happiness expert,"Harvard psychologist Dan Gilbert says our beliefs about what will make us happy are often wrong -- a premise he supports with intriguing research, and explains in his accessible and unexpectedly funny book, <em>Stumbling on Happiness.</em>"
How does your brain respond to pain?,Karen Davis,,,
Get ready for hybrid thinking,Ray Kurzweil,,"Inventor, futurist","Ray Kurzweil is an engineer who has radically advanced the fields of speech, text and audio technology. He's revered for his dizzying -- yet convincing -- writing on the advance of technology, the limits of biology and the future of the human species."
