talk,speaker,speaker_title,speaker_occ,speaker_bio
How a strong creative industry helps economies thrive,Mehret Mandefro,,"Filmmaker, anthropologist, physician","Mehret Mandefro is an award-winning producer, writer and director."
How bad data keeps us from good AI,Mainak Mazumdar,,Data and research expert,Mainak Mazumdar is a leading expert of technology-led disruption in media and consumer behavior.
How your brain responds to stories -- and why they're crucial for leaders,Karen Eber,,Leadership consultant,"Karen Eber believes storytelling is one of the most impactful ways to shape culture, and engage people."
Savitri and Satyavan,Iseult Gillespie,,,
4 tips to kickstart honest conversations at work,Betsy Kauffman,,Organizational coach,"Betsy Kauffman helps leaders create innovative, aligned, disruptive agile organizations."
How carbon capture networks could help curb climate change,Bas Sudmeijer,,Carbon capture advisor,BCG's Bas Sudmeijer is a managing director and partner in the firm's London office.
"These squids can fly... no, really",Robert Siddall,,,
6 essential lessons for women leaders,Julia Gillard,,27th Prime Minister of Australia,"An advocate for women's leadership, the Honorable Julia Gillard was 27th Prime Minister of Australia."
How AI can help shatter barriers to equality,Jamila Gordon,,AI advocate,"One of Australia's foremost tech leaders, Jamila Gordon is CEO and founder of Lumachain."
A day in the life of an ancient Babylonian business mogul,Soraya Field Fiorio,,,
The 1-minute secret to forming a new habit,Christine Carter,,Sociologist,Christine Carter teaches high-achievers how to craft sustainable lives as leaders.
How to turn moments into momentum,Renee Montgomery,,"WNBA champion, activist","In addition to her incredible WNBA basketball career, Renee Montgomery is a vocal advocate for equality and social justice reform. "
The counterintuitive way to be more persuasive,Niro Sivanathan,,Organizational psychologist,"Niro Sivanathan speaks, writes and consults on how people attain, maintain (and lose) influence through status and power."
"Why should you read Toni Morrison's ""Beloved""?",Yen Pham,,,
3 ways companies can support grieving employees,Tilak Mandadi,,Empathy advocate,"Tilak Mandadi and his global team at Disney are integral to converging the physical and digital worlds to create magical memories for more than 150 million annual guests at Disney’s theme parks, hotels, cruise ships, retail stores and restaurants -- and bringing that magic home to millions more with games, books and digital experiences."
The life cycle of a cup of coffee,AJ Jacobs,,,
How we could make carbon-negative concrete,Tom Schuler,,Cement entrepreneur,Tom Schuler has spent three decades advancing sustainable innovation across global industries.
How do personality tests work?,Merve Emre,,,
The strange history of the world's most stolen painting,Noah Charney,,,
6 big ethical questions about the future of AI,Genevieve Bell,,"Professor, anthropologist",Genevieve Bell works at the intersection of cultural practice and technology development.
The shadow pandemic of domestic violence during COVID-19,Kemi DaSilva-Ibru,,Women's health specialist,"A qualified physician with more than 15 years of experience in private practice, Dr. Kemi DaSilva-Ibru dedicates her time to addressing the needs of girls and women."
3 bizarre (and delightful) ancient theories about bird migration,Lucy Cooke,,"Zoologist, author, explorer","In books, TV shows and even an annual sloth calendar, Lucy Cooke shares unexpected truths about animals."
"Financial inclusion, the digital divide and other thoughts on the future of money",Ajay Banga,,CEO of Mastercard,"Ajay Banga is CEO of Mastercard and a member of its board of directors, and will become executive chairman of the board of directors in January 2021."
What happens when you die? A poetic inquiry,Emily Dickinson,,,
Who counts as a speaker of a language?,Anna Babel,,Linguist,Anna Babel studies the relationship between language and culture.
An innovative way to support children with special needs,Billy Samuel Mwape,,"Computer scientist, project management consultant, business strategist","Billy Samuel Mwape is a computer scientist, project management expert and business strategist with more than 16 years of experience in the banking and mining sectors."
Can you win a game of quantum foosball?,Matteo Fadel,,,
How to be an upstander instead of a bystander,Angélique Parisot-Potter,,Legal and business integrity leader,"Angélique Parisot-Potter traces her sense of justice to her father, a 260-pound wrestler who told her that no matter your size, you must look out for others."
A strategy for supporting and listening to others,Jeremy Brewer,,"Police officer, crisis advocate",Jeremy Brewer embodies the idea that good policing means more than enforcing the law -- it's also about reaching out to and supporting each community's most marginalized members.
Building the world's largest (and most controversial) power plant,Alex Gendler,,,
Why monkeys (and humans) are wired for fairness,Sarah Brosnan,,Primatologist,Sarah Brosnan studies how and why animals make decisions.
